CMDLINE C:\Users\Wuestney\miniconda3\envs\monte-carlo-dev\python.exe gen_mc_transition.py
MEM 1108.632812 1666577675.1712
MEM 1109.632812 1666577675.2713
MEM 1110.820312 1666577675.3876
MEM 1111.917969 1666577675.5007
MEM 1113.007812 1666577675.6049
MEM 1114.132812 1666577675.7214
MEM 1115.320312 1666577675.8356
MEM 1116.382812 1666577675.9383
MEM 1117.507812 1666577676.0552
MEM 1118.632812 1666577676.1685
MEM 1119.632812 1666577676.2719
MEM 1120.519531 1666577676.3721
MEM 1121.632812 1666577676.4873
MEM 1122.632812 1666577676.5888
MEM 1123.570312 1666577676.6911
MEM 1124.632812 1666577676.8052
MEM 1125.632812 1666577676.9058
MEM 1126.507812 1666577677.0074
MEM 1127.570312 1666577677.1229
MEM 1128.632812 1666577677.2394
MEM 1129.632812 1666577677.3394
MEM 1130.820312 1666577677.4540
MEM 1131.757812 1666577677.5562
MEM 1132.820312 1666577677.6720
MEM 1133.757812 1666577677.7731
MEM 1134.757812 1666577677.8731
MEM 1135.671875 1666577677.9734
MEM 1136.820312 1666577678.0898
MEM 1137.820312 1666577678.1900
MEM 1138.757812 1666577678.2903
MEM 1139.945312 1666577678.4070
MEM 1141.132812 1666577678.5227
MEM 1142.257812 1666577678.6376
MEM 1143.167969 1666577678.7396
MEM 1144.191406 1666577678.8404
MEM 1145.257812 1666577678.9573
MEM 1146.257812 1666577679.0573
MEM 1147.183594 1666577679.1575
MEM 1148.382812 1666577679.2732
MEM 1149.320312 1666577679.3742
MEM 1150.320312 1666577679.4742
MEM 1151.320312 1666577679.5743
MEM 1152.421875 1666577679.6911
MEM 1153.570312 1666577679.8078
MEM 1154.757812 1666577679.9246
MEM 1155.632812 1666577680.0246
MEM 1156.648438 1666577680.1393
MEM 1157.683594 1666577680.2406
MEM 1158.820312 1666577680.3506
MEM 1159.882812 1666577680.4545
MEM 1160.898438 1666577680.5559
MEM 1161.894531 1666577680.6574
MEM 1162.882812 1666577680.7577
MEM 1163.882812 1666577680.8586
MEM 1165.070312 1666577680.9731
MEM 1166.007812 1666577681.0753
MEM 1166.921875 1666577681.1755
MEM 1168.070312 1666577681.2905
MEM 1169.007812 1666577681.3923
MEM 1170.007812 1666577681.4924
MEM 1171.132812 1666577681.6078
MEM 1172.070312 1666577681.7092
MEM 1173.175781 1666577681.8258
MEM 1174.183594 1666577681.9260
MEM 1175.320312 1666577682.0362
MEM 1176.257812 1666577682.1428
MEM 1177.433594 1666577682.2596
MEM 1178.320312 1666577682.3596
MEM 1179.414062 1666577682.4741
MEM 1180.437500 1666577682.5761
MEM 1181.632812 1666577682.6931
MEM 1182.648438 1666577682.8080
MEM 1183.632812 1666577682.9100
MEM 1184.507812 1666577683.0101
MEM 1185.507812 1666577683.1104
MEM 1186.632812 1666577683.2269
MEM 1187.757812 1666577683.3436
